,winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential,winner
0,0.645876792,?,1,61.13109444,2,2,?,5,1,3,1,71,19,1
1,0.543700373,0.664659244,?,65.39133839,1,-1,2,3,2,3,0,58,53,1
7,0.810310041,0.375600184,1,74.96343189,3,1,5,3,3,1,?,51,47,1
8,0.32697748,0.543994769,0,64.75846754,2,0,1,2,3,3,0,30,20,1
10,0.563164811,0.838944719,1,54.48399056,2,1,1,3,3,2,1,75,48,1
14,0.677622692,0.453605636,0,70.8322085,0,2,4,5,2,3,1,71,21,1
15,0.290482366,0.800353582,0,61.82987929,3,2,4,4,1,2,0,68,83,1
16,0.178755435,?,0,58.72150432,2,2,3,2,3,?,1,86,?,1
17,0.565474816,0.68108603,1,62.58297772,3,3,1,5,0,3,1,27,33,1
18,0.296839147,?,1,62.19119486,2,?,1,3,2,2,1,5,64,1
19,0.532362543,0.882886674,1,62.23195968,0,0,5,3,2,2,1,47,32,1
20,0.321845788,0.261062525,1,74.44628497,3,1,?,5,2,3,1,32,71,1
23,0.698870723,0.577587232,-1,73.7453661,2,0,4,1,2,3,0,42,34,1
24,0.551395729,0.417287134,-1,60.27659398,3,1,2,4,2,3,1,48,47,1
26,0.597873005,0.333631979,0,64.04493233,2,?,?,5,2,2,1,53,50,1
29,0.50000689,?,1,68.79492562,2,1,5,3,3,0,0,72,43,1
30,0.469406287,0.280096907,0,64.90666671,?,1,3,3,4,4,0,?,9,1
32,?,0.648694639,1,73.76955255,1,1,1,5,1,?,1,47,71,1
35,0.326859757,0.543801741,-1,59.7622565,2,1,4,2,4,1,0,54,103,1
39,0.434023165,0.220153134,-1,?,?,0,1,4,?,0,1,41,48,1
40,0.544633748,0.623400522,-1,?,1,-1,5,2,3,4,0,19,54,1
41,0.525758115,0.672109251,1,56.69207295,?,1,3,1,3,2,1,14,39,1
42,0.617984812,0.447642814,0,74.486763,2,2,3,4,?,3,0,90,79,1
43,0.498297343,0.573613835,?,?,3,0,2,3,3,3,0,70,34,1
45,0.197460539,0.71775107,1,67.9749452,2,2,4,3,1,3,1,?,48,1
46,0.251965977,0.397108391,0,81.88839456,1,1,?,1,2,3,0,53,10,1
47,0.284498166,0.326988359,1,58.42626683,3,3,?,1,?,3,1,74,57,1
48,?,-0.027876735,-1,61.8603317,1,0,2,1,2,1,0,?,34,1
49,0.590079294,0.423661897,0,65.81002165,0,0,4,?,2,1,1,116,43,1
50,0.672660319,0.455823115,0,67.83191063,3,1,?,4,1,4,1,64,43,1
52,0.414498464,0.524967403,1,60.13775094,3,3,4,?,2,2,1,?,49,1
54,0.634650849,0.711824348,1,64.54899974,0,0,4,5,3,2,1,62,66,1
57,0.206648574,0.655985704,-1,74.66874597,2,1,4,4,1,3,1,22,44,1
60,1.005928841,0.361561305,?,72.20221577,2,2,2,5,3,2,1,82,39,1
61,0.448821392,?,0,62.72338989,2,1,2,5,?,?,0,59,70,1
64,0.465865797,0.912031793,-1,64.42957937,3,1,3,1,1,2,1,57,64,1
65,0.356525753,0.896365908,1,60.70273936,1,2,3,2,2,1,1,73,33,1
67,0.662286547,0.589269,1,81.64289184,1,0,?,4,3,2,0,64,31,1
68,0.404882478,0.453535084,-1,69.76738607,2,0,1,1,2,?,0,7,10,1
69,0.207984925,0.476922653,0,74.26170307,2,2,4,4,3,4,0,45,47,1
70,0.780717823,0.405554434,-1,58.64467933,3,1,1,4,4,1,1,71,46,1
71,0.692199287,0.328084292,1,75.09424763,3,3,1,?,1,1,1,80,42,1
73,0.401288562,0.407151251,-1,72.68878816,1,1,2,5,4,3,0,68,58,1
75,0.522293916,0.647518127,-1,?,2,2,5,5,2,3,1,58,24,1
76,0.371949642,0.782861019,-1,62.58082007,2,1,5,2,2,0,1,60,68,1
78,0.465623384,0.494932381,1,60.68498483,2,1,1,5,4,3,0,62,75,1
80,0.810102719,0.617050533,-1,63.87283969,2,-1,3,2,3,3,1,17,39,1
82,0.337462029,0.819755525,-1,80.24321433,2,2,2,3,4,3,1,45,64,1
83,0.513545511,0.672416851,0,75.2381757,2,1,1,4,3,2,1,62,70,1
87,0.475168726,0.925348789,1,62.58845719,2,1,4,2,2,4,0,89,80,1
88,0.327688626,0.379502693,1,74.23669351,3,1,2,2,4,1,1,56,?,1
89,0.618049025,0.730819504,1,63.63858705,2,2,5,5,2,1,1,44,63,1
91,0.487180623,0.967903494,1,74.97411895,3,3,3,4,2,3,1,?,62,1
92,0.410732112,0.404436408,-1,64.87072524,0,0,4,4,2,1,1,30,49,1
93,0.255103402,0.32616807,1,61.68657918,3,3,1,1,3,3,0,61,29,1
94,0.626594693,0.599709815,0,62.54891161,2,0,1,1,2,1,1,76,40,1
95,0.56685322,0.340187565,1,62.71242809,1,0,4,2,2,2,1,67,36,1
96,0.491888772,0.434656867,1,77.52219581,1,0,1,5,3,?,1,?,26,1
98,0.556095483,0.5790996,-1,79.85054592,2,1,1,2,4,3,1,68,52,1
99,0.403774165,0.90376117,0,57.84704316,2,2,5,2,3,3,?,52,10,1
100,0.509104665,0.364565683,-1,68.92634036,1,1,4,?,2,2,0,28,15,1
101,0.550987606,?,0,72.15739839,3,1,?,4,1,1,0,79,22,1
102,0.324283066,0.404665082,0,58.05142134,2,1,2,2,4,1,0,46,37,1
103,0.338389885,0.313361032,-1,67.18372319,1,1,5,2,3,3,?,32,20,1
104,0.356063666,0.611812253,1,62.88611703,3,3,4,4,3,3,0,41,75,1
106,0.427087069,0.566756239,?,?,0,-1,5,1,3,3,0,75,22,1
108,0.551262277,0.579746584,-1,73.0939315,2,1,1,1,3,3,1,9,33,1
111,0.22562714,0.240394286,-1,56.90356057,2,2,3,1,2,4,0,4,50,1
112,0.574156641,0.543489694,-1,66.88522536,2,?,1,2,2,3,1,77,101,1
113,0.441275233,?,0,66.18825607,1,0,3,4,3,2,0,27,52,1
114,0.119807984,0.393319392,0,74.96262335,3,1,2,4,2,1,0,34,55,1
115,0.553788316,1.063989129,1,75.91943793,2,2,2,2,3,2,0,?,42,1
116,?,0.491017464,-1,69.41384191,1,0,4,1,1,3,1,21,41,1
117,0.315655868,?,1,69.20195474,3,3,4,5,3,4,1,69,39,1
119,0.412857847,0.354916694,0,81.43114427,1,0,2,3,2,3,1,50,41,1
120,0.504959721,0.874259221,1,71.39053355,?,1,5,?,2,2,0,43,78,1
122,0.336408659,0.33079557,-1,58.20327815,2,1,2,4,1,3,1,60,25,1
123,0.592868974,0.541927513,-1,72.53563179,2,0,4,5,4,3,1,59,60,1
125,0.492701179,0.339765099,0,59.22882059,1,1,5,2,4,2,0,59,59,1
127,0.20262165,0.558516297,1,?,1,1,1,5,4,3,1,58,20,1
129,0.757730596,0.529568094,0,71.31645334,1,1,5,1,3,3,0,37,53,1
133,0.399532748,0.786785188,1,57.97225447,2,1,2,4,-1,3,1,38,65,1
134,0.857134222,0.783524772,0,75.7926089,4,1,3,1,3,1,0,66,71,1
135,0.519068017,0.599928869,0,?,2,1,1,1,1,2,0,42,48,1
137,0.270170523,0.208758923,1,58.82392859,?,?,5,1,1,2,0,56,76,1
141,0.503002543,0.569705353,1,65.7181732,4,1,3,1,4,4,0,17,28,1
144,0.306157544,0.429063852,-1,55.38745818,3,2,2,4,1,3,?,17,23,1
145,0.571507392,0.653151605,-1,68.91149537,1,3,3,3,3,3,1,67,36,1
146,0.334374893,0.351128773,0,75.35990315,?,1,5,1,1,?,1,43,49,1
148,0.45686711,0.586728311,0,77.29337736,2,?,5,1,2,3,1,77,42,1
150,0.374288936,0.554859119,0,?,1,0,1,2,2,3,0,17,40,1
151,0.222095665,0.641323724,0,54.650435,3,-1,5,1,3,2,0,59,?,1
152,0.454859767,0.53981759,-1,55.85540858,?,0,2,1,2,2,1,40,44,1
153,0.570379421,0.303346729,0,50.19845549,2,2,3,2,1,4,1,27,7,1
156,0.598198679,0.558226502,-1,58.68445716,1,0,3,1,1,2,?,69,49,1
157,0.602133169,0.489303528,1,55.63424277,2,2,2,5,1,4,1,56,?,1
158,?,0.849158994,-1,58.15294509,2,0,3,4,2,1,0,34,57,1
159,0.617706374,1.033995639,-1,64.84674457,3,1,5,2,?,2,0,31,31,1
160,0.874498697,0.644695988,1,59.58442719,1,1,5,3,2,?,1,?,?,1
161,0.637474279,0.490556365,-1,54.68969928,2,2,3,1,2,3,1,28,40,1
162,0.757691427,0.44632666,-1,56.68852782,0,0,2,5,2,4,0,49,?,1
163,0.466783114,0.4505897,-1,55.83393476,3,1,1,4,2,4,1,58,65,1
166,0.5350133,0.631564084,-1,68.95101751,?,1,2,3,4,?,1,61,59,1
167,?,0.307271009,1,62.38920569,1,0,1,4,5,2,1,39,60,1
168,0.459167742,0.298117403,-1,69.43630061,3,1,2,1,1,2,0,87,47,1
169,0.497749164,?,0,67.84954656,2,0,4,4,4,2,0,43,26,1
170,0.234735408,0.214639846,0,66.95147818,2,0,2,5,3,3,0,71,49,1
